iter	MultiClass
253	0.5233780871
254	0.5233147988
255	0.5232754803
256	0.5231853421
257	0.5231647452
258	0.5231239577
259	0.5230327627
260	0.5230143175
261	0.5229607999
262	0.5229090807
263	0.5228619804
264	0.5228302674
265	0.522762035
266	0.5226993796
267	0.522588908
268	0.5225129541
269	0.5224873075
270	0.5224149743
271	0.5223642463
272	0.5223187888
273	0.5222892104
274	0.5222444104
275	0.5221649845
276	0.5221150814
277	0.5220460424
278	0.5219500493
279	0.5218779812
280	0.5217879104
281	0.5217095926
282	0.5216443973
283	0.521576473
284	0.5215263699
285	0.5214580029
286	0.5214205195
287	0.5213721041
288	0.5213293234
289	0.5212703638
290	0.5211897975
291	0.5211659139
292	0.5211276733
293	0.5210992237
294	0.5210575335
295	0.5210078412
296	0.5209576665
297	0.5208799649
298	0.5208336577
299	0.5207858204
300	0.520673691
301	0.5205963216
302	0.5205575249
303	0.5204894951
304	0.5204114006
305	0.5203543068
306	0.5202882301
307	0.5202473307
308	0.5202026685
309	0.520154715
310	0.5200839035
311	0.5200508247
312	0.5200018928
313	0.5199787842
314	0.5199173422
315	0.5198621413
316	0.5198049013
317	0.5197645736
318	0.519720423
319	0.5196933718
320	0.519648422
321	0.5196064853
322	0.5195633143
323	0.5194860533
324	0.5194388425
325	0.5193960539
326	0.5193585042
327	0.5193009516
328	0.5192829826
329	0.5192399887
330	0.5192106892
331	0.5191672596
332	0.5190816081
333	0.5190480735
334	0.5189797556
335	0.5189235167
336	0.5188524712
337	0.5187838471
338	0.5187560536
339	0.5187022768
340	0.5186501119
341	0.5185992163
342	0.5185571804
343	0.5184947388
344	0.5184330698
345	0.5184022716
346	0.5183585436
347	0.5183138267
348	0.5182376305
349	0.5181868669
350	0.518117562
351	0.5180664301
352	0.5180341997
353	0.5179593723
354	0.5179165845
355	0.5178412279
356	0.5177944405
357	0.5177611979
358	0.5177435101
359	0.5176814812
360	0.5176499984
361	0.5176232177
362	0.5175858304
363	0.5175262119
364	0.5174871738
365	0.5173904462
366	0.5173817289
367	0.5173413421
368	0.5173033372
369	0.517270303
370	0.5172472967
371	0.5172074281
372	0.5171819421
373	0.5171484065
374	0.5171148023
375	0.5170668566
376	0.5170350602
377	0.5170007684
378	0.5169795016
379	0.5169226665
380	0.5168717154
381	0.5168294162
382	0.5167740157
383	0.5167309197
384	0.5166938332
385	0.5166336098
386	0.5165767923
387	0.5165519333
388	0.5165082543
389	0.5164763417
390	0.516449747
391	0.5164087423
392	0.516376357
393	0.5163476219
394	0.5162757739
395	0.5162480223
396	0.5162205766
397	0.5161836863
398	0.5161361099
399	0.5160872952
400	0.5160339922
401	0.5159909545
402	0.515947421
403	0.5159011056
404	0.5158699579
405	0.5158368397
406	0.5158082417
407	0.5157744311
408	0.5157154445
409	0.5156792469
410	0.5156409924
411	0.5156214346
412	0.5155860387
413	0.515537326
414	0.5155138137
415	0.5154830297
416	0.5154617796
417	0.5153924701
418	0.5153593657
419	0.5153409618
420	0.5152823782
421	0.5152545926
422	0.5152279317
423	0.5152017064
424	0.5151667758
425	0.5151448948
426	0.5151200434
427	0.5150599812
428	0.5150356674
429	0.5150230416
