iter	Passed	Remaining
361	1427584	268165
362	1431337	264186
363	1435083	260207
364	1439020	256264
365	1442714	252277
366	1446775	248356
367	1450500	244377
368	1454617	240465
369	1458863	236572
370	1463092	232675
371	1467382	228785
372	1471420	224855
373	1475635	220950
374	1479864	217046
375	1483921	213116
376	1488089	209200
377	1492339	205295
378	1496715	201405
379	1500669	197456
380	1504680	193515
381	1509062	189620
382	1512695	185631
383	1516357	181646
384	1520129	177677
385	1523914	173710
386	1527602	169733
387	1531523	165783
388	1535456	161834
389	1539675	157915
390	1544155	154020
391	1548138	150074
392	1551854	146103
393	1555545	142131
394	1559213	138158
395	1562689	134170
396	1566401	130204
397	1569809	126215
398	1573400	122244
399	1577156	118286
400	1580783	114321
401	1584445	110359
402	1587931	106387
403	1591490	102422
404	1595114	98463
405	1598961	94519
406	1602476	90557
407	1606025	86599
408	1609628	82645
409	1613157	78690
410	1616851	74744
411	1620336	70791
412	1623883	66842
413	1627551	62900
414	1631321	58963
415	1634944	55022
416	1638602	51083
417	1642242	47145
418	1645951	43211
419	1649735	39279
420	1653282	35343
421	1656742	31407
422	1660462	27478
423	1664081	23548
424	1667584	19618
425	1671110	15691
426	1674755	11766
427	1678390	7842
428	1682182	3921
429	1685863	0
