,precision,recall,f1-score,support
0,0.988833746898263,0.9950062421972534,0.9919103920348475,801.0
1,0.7924787263244578,0.48820495476452186,0.6041960968973997,35481.0
2,0.3276454701694083,0.17467277486910995,0.22786647314949202,15280.0
3,0.47956073412741307,0.7027592105679982,0.5700922570863207,31567.0
4,0.9874295112781954,0.9979814770838281,0.9926774536435573,8422.0
5,0.5392690703948982,0.38332519701513357,0.4481177261887777,28678.0
6,0.8031003535490889,0.8173715677590788,0.8101731186040769,36128.0
7,0.297843558526299,0.2048041146859269,0.24271309535388905,18276.0
8,0.34146184532235235,0.48441422116745014,0.40056609114067365,21911.0
9,0.280724651191697,0.6751363874149914,0.3965585356217901,13381.0
10,0.6431924882629108,0.40914700365287787,0.5001433118616965,40516.0
11,0.5125008705341597,0.287640712945591,0.3684750769847032,25584.0
12,0.04452039393803121,0.7597851112816577,0.08411214953271028,1303.0
13,0.9966008661496626,0.9015146338685799,0.9466760741918896,43905.0
14,0.9994270284981701,0.9927717186377251,0.9960882569187172,140559.0
15,0.4373692077727952,0.37818974112781123,0.4056323523586961,27079.0
16,0.2886764507876666,0.9237397673416631,0.4398851046368486,2321.0
17,0.08536585365853659,0.5,0.14583333333333334,14.0
18,0.0,0.0,0.0,3.0
accuracy,0.6753398247996271,0.6753398247996271,0.6753398247996271,0.6753398247996271
macro avg,0.5182105698623162,0.5829718334937473,0.5037745736599696,491209.0
weighted avg,0.7217097469920863,0.6753398247996271,0.6842115121479366,491209.0
