,precision,recall,f1-score,support
0,0.9234338747099768,0.9937578027465668,0.9573060733613951,801.0
1,0.7945541056202007,0.4753530058341084,0.5948367073428793,35481.0
2,0.32905090733900755,0.13409685863874346,0.19054261403264053,15280.0
3,0.4629475587703436,0.8110051636202363,0.5894298179976286,31567.0
4,0.9748251748251748,0.9931132747565898,0.9838842489118927,8422.0
5,0.5458496305953933,0.39416974684427086,0.45777228825399396,28678.0
6,0.7869153004033315,0.8316541186891054,0.8086663975238865,36128.0
7,0.3144645711241343,0.12918581746552857,0.1831368290412659,18276.0
8,0.3346713700685237,0.7534115284560267,0.4634670185437343,21911.0
9,0.28561534523773674,0.7088408938046484,0.40716892036917796,13381.0
10,0.6654822926374651,0.28198736301707966,0.3961237084806879,40516.0
11,0.5401147626499739,0.20235303314571607,0.2944070061702067,25584.0
12,0.04188207087735071,0.8580199539524175,0.07986569989641747,1303.0
13,0.99951717828827,0.8958660744789887,0.9448574894603456,43905.0
14,0.9991694292690262,0.9928001764383639,0.9959746201226171,140559.0
15,0.46619446233097234,0.16041951327597032,0.2387009918399868,27079.0
16,0.28249388123148267,0.944851357173632,0.4349464498214994,2321.0
17,0.025974025974025976,0.8571428571428571,0.05042016806722689,14.0
18,0.013513513513513514,0.3333333333333333,0.025974025974025976,3.0
accuracy,0.664747592165453,0.664747592165453,0.664747592165453,0.664747592165453
macro avg,0.5150878660771528,0.618492730148115,0.47881479343218464,491209.0
weighted avg,0.7251704552872335,0.664747592165453,0.6628687977598172,491209.0
