,precision,recall,f1-score,support
0,0.9851668726823238,0.9950062421972534,0.9900621118012423,801.0
1,0.7812513419504444,0.5127533045855528,0.6191464742717125,35481.0
2,0.3047875377212299,0.24456806282722512,0.27137721941832177,15280.0
3,0.5013914187411456,0.6278391991636836,0.5575356916801463,31567.0
4,0.9851270640590233,0.9988126335787224,0.9919226460703968,8422.0
5,0.5302529733811592,0.39176372131947834,0.4506076284442305,28678.0
6,0.8186293706293706,0.8100642161204605,0.8143242716825733,36128.0
7,0.29499458649121346,0.19380608448238126,0.23392662549945514,18276.0
8,0.3403500829938132,0.41175665190999955,0.3726636237840517,21911.0
9,0.28253876459319766,0.5841865331440101,0.3808711752095108,13381.0
10,0.6399854796261004,0.5221640833251061,0.5751022793687902,40516.0
11,0.48978819969742815,0.35432301438399,0.4111857026217908,25584.0
12,0.04609867545838394,0.6116653875671527,0.08573580034423407,1303.0
13,0.9988147475664498,0.9021068215465209,0.9480008137962398,43905.0
14,0.9994127336532264,0.9928072908885237,0.9960990617047778,140559.0
15,0.42605997931747674,0.4412275194800399,0.4335111207866188,27079.0
16,0.29461528132133746,0.9452822059457131,0.44922194922194925,2321.0
17,0.21428571428571427,0.42857142857142855,0.2857142857142857,14.0
18,0.0,0.0,0.0,3.0
accuracy,0.6843543176122587,0.6843543176122587,0.6843543176122587,0.6843543176122587
macro avg,0.5228184644299493,0.577300231633539,0.5193162358642278,491209.0
weighted avg,0.7202135740673535,0.6843543176122587,0.6943919093186872,491209.0
