,precision,recall,f1-score,support
0,0.9815270935960592,0.9950062421972534,0.9882207067575945,801.0
1,0.7341974837971788,0.5427693695217158,0.6241350812659008,35481.0
2,0.278636543797067,0.32205497382198955,0.29877660058893174,15280.0
3,0.4691818381223953,0.5420850888586182,0.5030056291244728,31567.0
4,0.9877733364683753,0.9976252671574448,0.9926748582230623,8422.0
5,0.514934191760727,0.4406513703884511,0.47490557883462675,28678.0
6,0.8195009215106924,0.7753819751992914,0.7968312212882763,36128.0
7,0.28265581223238356,0.2925694900415846,0.28752722286451754,18276.0
8,0.3351119208745445,0.35256263976997854,0.343615861930921,21911.0
9,0.2787473105426727,0.43569239967117557,0.33998133893165383,13381.0
10,0.5953504043126685,0.5233488004738869,0.5570325224609888,40516.0
11,0.47199510296882513,0.42194340212632897,0.44556805283252504,25584.0
12,0.046511627906976744,0.340752110514198,0.08185086183058346,1303.0
13,0.9833668256543108,0.9250882587404624,0.9533377147685663,43905.0
14,0.9994198497339187,0.9927361463869265,0.9960667861145415,140559.0
15,0.4234061275097992,0.3909302411462757,0.4065206121234231,27079.0
16,0.2991539763113367,0.7617406290392073,0.4295954319037784,2321.0
17,0.14634146341463414,0.42857142857142855,0.21818181818181817,14.0
18,0.0,0.0,0.0,3.0
accuracy,0.6819887257766043,0.6819887257766043,0.6819887257766043,0.6819887257766043
macro avg,0.5077795700270823,0.5516584122961167,0.5125172578961149,491209.0
weighted avg,0.7062318168810114,0.6819887257766043,0.6910020282777478,491209.0
