,precision,recall,f1-score,support
0,0.9592326139088729,0.9987515605493134,0.9785932721712538,801.0
1,0.7999814238610505,0.4854992813054874,0.6042726347914548,35481.0
2,0.33039699318769084,0.18409685863874345,0.23644616289820963,15280.0
3,0.4808601234830743,0.7154940285741439,0.575168391968117,31567.0
4,0.9806074766355141,0.9966753740204227,0.9885761394417618,8422.0
5,0.5428016485859112,0.39953971685612666,0.460280796191777,28678.0
6,0.8108269858541893,0.825011071744907,0.817857534847986,36128.0
7,0.2910515903211079,0.2092908732764281,0.2434909924247247,18276.0
8,0.34213946952397684,0.4444799415818539,0.38665237414641895,21911.0
9,0.28503288960937745,0.6832822658994097,0.402261428131462,13381.0
10,0.6520105524022703,0.4026063777273176,0.4978179265724662,40516.0
11,0.5173625755658653,0.2876797998749218,0.3697563426274805,25584.0
12,0.04481883221786291,0.7452033768227168,0.0845524207593173,1303.0
13,0.9988113002352108,0.8994875298940895,0.9465509802981641,43905.0
14,0.999283867687394,0.9927432608370862,0.996002826572638,140559.0
15,0.43328997674510267,0.4059603382695077,0.4191801715919924,27079.0
16,0.2884033170988548,0.94398965962947,0.4418229481750353,2321.0
17,0.04430379746835443,0.5,0.08139534883720931,14.0
18,0.03125,0.3333333333333333,0.05714285714285714,3.0
accuracy,0.677218862032251,0.677218862032251,0.677218862032251,0.677218862032251
macro avg,0.5174981807574569,0.6027960341492252,0.5046221868205434,491209.0
weighted avg,0.7238357525138873,0.677218862032251,0.6861520480899352,491209.0
