,precision,recall,f1-score,support
0,0.9815270935960592,0.9950062421972534,0.9882207067575945,801.0
1,0.7968706472281549,0.4837236830979961,0.6020098563636682,35481.0
2,0.3300608407079646,0.156217277486911,0.21206467661691542,15280.0
3,0.47118299374544337,0.7779960084898787,0.5869110635806378,31567.0
4,0.9855836849507735,0.9984564236523391,0.9919782942078565,8422.0
5,0.545373621482617,0.3845456447451008,0.4510521687560073,28678.0
6,0.8044508216693289,0.8224645704162976,0.813357968931773,36128.0
7,0.3250063083522584,0.14094987962355002,0.19662621173956188,18276.0
8,0.34100302751085954,0.5911642553968326,0.43251636169360225,21911.0
9,0.28410562129286726,0.7051789851281668,0.4050306906468644,13381.0
10,0.664598108747045,0.3330536084509823,0.4437356132851036,40516.0
11,0.522313516996939,0.2534396497811132,0.34128112005895045,25584.0
12,0.04365144546649146,0.8158096699923254,0.08286883648411615,1303.0
13,0.9980316450904686,0.9007857874957295,0.9469185461858929,43905.0
14,0.9994198871286561,0.9928001764383639,0.9960990338595296,140559.0
15,0.44395881895881895,0.33760478599652866,0.38354555180298294,27079.0
16,0.28835908364411295,0.9327875915553641,0.4405331162885339,2321.0
17,0.03529411764705882,0.6428571428571429,0.06691449814126393,14.0
18,0.0,0.0,0.0,3.0
accuracy,0.6727787968054332,0.6727787968054332,0.6727787968054332,0.6727787968054332
macro avg,0.5189890149587325,0.5928863885685198,0.4937718060737293,491209.0
weighted avg,0.7258186904488412,0.6727787968054332,0.6777073995446696,491209.0
