,precision,recall,f1-score,support
0,0.08393795346509883,0.8377028714107366,0.1525866969869244,801.0
1,0.3871159859050077,0.21983596854654605,0.28042423152975016,35481.0
2,0.2145262756560971,0.4418848167539267,0.28883090216879836,15280.0
3,0.02127659574468085,3.167865175658124e-05,6.326311127981274e-05,31567.0
4,0.5512637441096673,0.9167656138684398,0.6885143570536829,8422.0
5,0.02977086469309249,0.01862054536578562,0.02291108012442347,28678.0
6,0.07108386731296462,0.36816319751992915,0.11916056350646151,36128.0
7,0.00249003984063745,0.00027358284088421976,0.0004929994084007099,18276.0
8,0.0,0.0,0.0,21911.0
9,0.16321953650635435,0.048950003736641504,0.07531332643440267,13381.0
10,0.4666468135795116,0.07735215717247507,0.13270663956639567,40516.0
11,0.06948640483383686,0.003595997498436523,0.0068381150587185965,25584.0
12,0.0,0.0,0.0,1303.0
13,0.9628314888285655,0.3150666211137684,0.47477347611202636,43905.0
14,0.9073644278460433,0.5479407224012692,0.6832682753726047,140559.0
15,0.10648743124453812,0.1529967871782562,0.12557399408956582,27079.0
16,0.05991846368415406,0.48125807841447654,0.1065687163096885,2321.0
17,0.0,0.0,0.0,14.0
18,2.804026582171999e-05,0.3333333333333333,5.607581450120563e-05,3.0
accuracy,0.27845173846570404,0.27845173846570404,0.27845173846570404,0.27845173846570404
macro avg,0.21565515439558275,0.25072484083192953,0.1662148796130329,491209.0
weighted avg,0.4510598841661486,0.27845173846570404,0.3101504605540888,491209.0
