,precision,recall,f1-score,support
0,0.41184448462929474,0.5531268973891925,0.472143042238922,1647.0
1,0.6094026157652881,0.6491778586670014,0.6286617235930473,7967.0
2,0.034403669724770644,0.20833333333333334,0.05905511811023622,72.0
3,0.9923664122137404,0.9630415705801922,0.9774841021604491,49001.0
4,0.3326844806228986,0.4658077304261645,0.38814906575823266,4036.0
5,0.8970602226239178,0.9343969874145278,0.9153480244636443,10091.0
6,0.45266194597429843,0.5381976925475522,0.49173789173789173,6414.0
7,0.38203309692671394,0.5401069518716578,0.4475214621988369,1496.0
8,0.9983597577393128,0.9902507605082129,0.9942887260129575,325769.0
9,0.9749314661294052,0.9440624300380593,0.9592486676199142,31267.0
10,0.9894148983572794,0.9594139166002554,0.9741834844496442,104149.0
11,0.33699410209477326,0.47464909767974794,0.3941484300666032,3491.0
12,0.03626943005181347,0.25925925925925924,0.06363636363636363,27.0
13,0.6360161393077086,0.6781387976904789,0.6564023889101968,8833.0
14,0.32974316487158245,0.5896296296296296,0.42295430393198724,675.0
15,0.14857142857142858,0.3939393939393939,0.2157676348547718,132.0
accuracy,0.9530272922007613,0.9530272922007613,0.9530272922007613,0.9530272922007613
macro avg,0.5351723322252642,0.6338457692234162,0.5662956518589812,555067.0
weighted avg,0.9617481227810577,0.9530272922007613,0.956940584510578,555067.0
