,precision,recall,f1-score,support
0,0.35519713261648744,0.6017000607164542,0.4466982195176921,1647.0
1,0.6243592600846891,0.7032760135559182,0.6614721681128622,7967.0
2,0.05597964376590331,0.3055555555555556,0.09462365591397849,72.0
3,0.9997657431266904,0.9580620803657068,0.9784697471810584,49001.0
4,0.28194956078209127,0.4930624380574827,0.35875247881737876,4036.0
5,0.8750462107208873,0.9382618174611039,0.9055521017646215,10091.0
6,0.44509497788186314,0.5333645151231681,0.48524822695035463,6414.0
7,0.34811715481171546,0.5561497326203209,0.42820380854348944,1496.0
8,0.9999471767527996,0.9878502865527413,0.9938619233875389,325769.0
9,0.9788262138854401,0.9329324847283078,0.9553284862775921,31267.0
10,0.9984425881353532,0.9479495722474531,0.9725411390378809,104149.0
11,0.30140982012639767,0.5327986250358063,0.3850134547712689,3491.0
12,0.04294478527607362,0.25925925925925924,0.07368421052631578,27.0
13,0.6256769671870023,0.6670440393977132,0.6456986301369863,8833.0
14,0.322007722007722,0.6177777777777778,0.4233502538071066,675.0
15,0.12895927601809956,0.4318181818181818,0.1986062717770035,132.0
accuracy,0.9498222737074984,0.9498222737074984,0.9498222737074984,0.9498222737074984
macro avg,0.523982764573701,0.6541789025170595,0.5629440485326955,555067.0
weighted avg,0.9639456239540697,0.9498222737074984,0.9558983846779181,555067.0
